,x,y,z
194,1.84729,1.88996,0.176803
195,1.84729,1.88996,0.188997
196,1.84729,1.88996,0.20119
197,1.84729,1.88996,0.213383
198,1.84729,1.88996,0.225577
199,1.84729,1.88996,0.23777
200,1.84729,1.88996,0.249963
201,1.84729,1.88996,0.262157
202,1.84729,1.88996,0.27435
203,1.84729,1.88996,0.286543
204,1.84729,1.88996,0.298737
205,1.84729,1.88996,0.31093
206,1.84729,1.88996,0.323123
207,1.84729,1.88996,0.335317
208,1.84729,1.88996,0.34751
209,1.84729,1.88996,0.359703
210,1.85948,1.88996,0.00609667
211,1.85948,1.88996,0.01829
212,1.85948,1.88996,0.0304833
213,1.85948,1.88996,0.0426767
214,1.85948,1.88996,0.05487
215,1.85948,1.88996,0.0670633
216,1.85948,1.88996,0.0792567
217,1.85948,1.88996,0.09145
218,1.85948,1.88996,0.103643
219,1.85948,1.88996,0.115837
220,1.85948,1.88996,0.12803
221,1.85948,1.88996,0.140223
222,1.85948,1.88996,0.152417
223,1.85948,1.88996,0.16461
224,1.85948,1.88996,0.176803
225,1.85948,1.88996,0.188997
226,1.85948,1.88996,0.20119
227,1.85948,1.88996,0.213383
228,1.85948,1.88996,0.225577
229,1.85948,1.88996,0.23777
230,1.85948,1.88996,0.249963
231,1.85948,1.88996,0.262157
232,1.85948,1.88996,0.27435
233,1.85948,1.88996,0.286543
234,1.85948,1.88996,0.298737
235,1.85948,1.88996,0.31093
236,1.85948,1.88996,0.323123
237,1.85948,1.88996,0.335317
238,1.85948,1.88996,0.34751
239,1.85948,1.88996,0.359703
240,1.87167,1.88996,0.00609667
241,1.87167,1.88996,0.01829
242,1.87167,1.88996,0.0304833
243,1.87167,1.88996,0.0426767
244,1.87167,1.88996,0.05487
245,1.87167,1.88996,0.0670633
246,1.87167,1.88996,0.0792567
247,1.87167,1.88996,0.09145
248,1.87167,1.88996,0.103643
249,1.87167,1.88996,0.115837
250,1.87167,1.88996,0.12803
251,1.87167,1.88996,0.140223
252,1.87167,1.88996,0.152417
253,1.87167,1.88996,0.16461
254,1.87167,1.88996,0.176803
255,1.87167,1.88996,0.188997
256,1.87167,1.88996,0.20119
257,1.87167,1.88996,0.213383
258,1.87167,1.88996,0.225577
259,1.87167,1.88996,0.23777
260,1.87167,1.88996,0.249963
261,1.87167,1.88996,0.262157
262,1.87167,1.88996,0.27435
263,1.87167,1.88996,0.286543
264,1.87167,1.88996,0.298737
265,1.87167,1.88996,0.31093
266,1.87167,1.88996,0.323123
267,1.87167,1.88996,0.335317
268,1.87167,1.88996,0.34751
269,1.87167,1.88996,0.359703
270,1.88386,1.88996,0.00609667
271,1.88386,1.88996,0.01829
272,1.88386,1.88996,0.0304833
273,1.88386,1.88996,0.0426767
274,1.88386,1.88996,0.05487
275,1.88386,1.88996,0.0670633
276,1.88386,1.88996,0.0792567
277,1.88386,1.88996,0.09145
278,1.88386,1.88996,0.103643
279,1.88386,1.88996,0.115837
280,1.88386,1.88996,0.12803
281,1.88386,1.88996,0.140223
282,1.88386,1.88996,0.152417
283,1.88386,1.88996,0.16461
284,1.88386,1.88996,0.176803
285,1.88386,1.88996,0.188997
286,1.88386,1.88996,0.20119
287,1.88386,1.88996,0.213383
288,1.88386,1.88996,0.225577
289,1.88386,1.88996,0.23777
290,1.88386,1.88996,0.249963
291,1.88386,1.88996,0.262157
292,1.88386,1.88996,0.27435
293,1.88386,1.88996,0.286543
294,1.88386,1.88996,0.298737
295,1.88386,1.88996,0.31093
296,1.88386,1.88996,0.323123
297,1.88386,1.88996,0.335317
298,1.88386,1.88996,0.34751
299,1.88386,1.88996,0.359703
300,1.88996,1.8351,0.00609667
301,1.88996,1.84729,0.00609667
302,1.88996,1.85948,0.00609667
303,1.88996,1.87167,0.00609667
304,1.88996,1.88386,0.00609667
305,1.88996,1.8351,0.01829
306,1.88996,1.84729,0.01829
307,1.88996,1.85948,0.01829
308,1.88996,1.87167,0.01829
309,1.88996,1.88386,0.01829
310,1.88996,1.8351,0.0304833
311,1.88996,1.84729,0.0304833
312,1.88996,1.85948,0.0304833
313,1.88996,1.87167,0.0304833
314,1.88996,1.88386,0.0304833
315,1.88996,1.8351,0.0426767
316,1.88996,1.84729,0.0426767
317,1.88996,1.85948,0.0426767
318,1.88996,1.87167,0.0426767
319,1.88996,1.88386,0.0426767
320,1.88996,1.8351,0.05487
321,1.88996,1.84729,0.05487
322,1.88996,1.85948,0.05487
323,1.88996,1.87167,0.05487
324,1.88996,1.88386,0.05487
325,1.88996,1.8351,0.0670633
326,1.88996,1.84729,0.0670633
327,1.88996,1.85948,0.0670633
328,1.88996,1.87167,0.0670633
329,1.88996,1.88386,0.0670633
330,1.88996,1.8351,0.0792567
331,1.88996,1.84729,0.0792567
332,1.88996,1.85948,0.0792567
333,1.88996,1.87167,0.0792567
334,1.88996,1.88386,0.0792567
335,1.88996,1.8351,0.09145
336,1.88996,1.84729,0.09145
337,1.88996,1.85948,0.09145
338,1.88996,1.87167,0.09145
339,1.88996,1.88386,0.09145
340,1.88996,1.8351,0.103643
341,1.88996,1.84729,0.103643
342,1.88996,1.85948,0.103643
343,1.88996,1.87167,0.103643
344,1.88996,1.88386,0.103643
345,1.88996,1.8351,0.115837
346,1.88996,1.84729,0.115837
347,1.88996,1.85948,0.115837
348,1.88996,1.87167,0.115837
349,1.88996,1.88386,0.115837
350,1.88996,1.8351,0.12803
351,1.88996,1.84729,0.12803
352,1.88996,1.85948,0.12803
353,1.88996,1.87167,0.12803
354,1.88996,1.88386,0.12803
355,1.88996,1.8351,0.140223
356,1.88996,1.84729,0.140223
357,1.88996,1.85948,0.140223
358,1.88996,1.87167,0.140223
359,1.88996,1.88386,0.140223
360,1.88996,1.8351,0.152417
361,1.88996,1.84729,0.152417
362,1.88996,1.85948,0.152417
363,1.88996,1.87167,0.152417
364,1.88996,1.88386,0.152417
365,1.88996,1.8351,0.16461
366,1.88996,1.84729,0.16461
367,1.88996,1.85948,0.16461
368,1.88996,1.87167,0.16461
369,1.88996,1.88386,0.16461
370,1.88996,1.8351,0.176803
371,1.88996,1.84729,0.176803
372,1.88996,1.85948,0.176803
373,1.88996,1.87167,0.176803
374,1.88996,1.88386,0.176803
375,1.88996,1.8351,0.188997
376,1.88996,1.84729,0.188997
377,1.88996,1.85948,0.188997
378,1.88996,1.87167,0.188997
379,1.88996,1.88386,0.188997
380,1.88996,1.8351,0.20119
381,1.88996,1.84729,0.20119
382,1.88996,1.85948,0.20119
383,1.88996,1.87167,0.20119
384,1.88996,1.88386,0.20119
385,1.88996,1.8351,0.213383
386,1.88996,1.84729,0.213383
387,1.88996,1.85948,0.213383
388,1.88996,1.87167,0.213383
389,1.88996,1.88386,0.213383
390,1.88996,1.8351,0.225577
391,1.88996,1.84729,0.225577
392,1.88996,1.85948,0.225577
393,1.88996,1.87167,0.225577
394,1.88996,1.88386,0.225577
395,1.88996,1.8351,0.23777
396,1.88996,1.84729,0.23777
397,1.88996,1.85948,0.23777
398,1.88996,1.87167,0.23777
399,1.88996,1.88386,0.23777
400,1.88996,1.8351,0.249963
401,1.88996,1.84729,0.249963
402,1.88996,1.85948,0.249963
403,1.88996,1.87167,0.249963
404,1.88996,1.88386,0.249963
405,1.88996,1.8351,0.262157
406,1.88996,1.84729,0.262157
407,1.88996,1.85948,0.262157
408,1.88996,1.87167,0.262157
409,1.88996,1.88386,0.262157
410,1.88996,1.8351,0.27435
411,1.88996,1.84729,0.27435
412,1.88996,1.85948,0.27435
413,1.88996,1.87167,0.27435
414,1.88996,1.88386,0.27435
415,1.88996,1.8351,0.286543
416,1.88996,1.84729,0.286543
417,1.88996,1.85948,0.286543
418,1.88996,1.87167,0.286543
419,1.88996,1.88386,0.286543
420,1.88996,1.8351,0.298737
421,1.88996,1.84729,0.298737
422,1.88996,1.85948,0.298737
423,1.88996,1.87167,0.298737
424,1.88996,1.88386,0.298737
425,1.88996,1.8351,0.31093
426,1.88996,1.84729,0.31093
427,1.88996,1.85948,0.31093
428,1.88996,1.87167,0.31093
429,1.88996,1.88386,0.31093
430,1.88996,1.8351,0.323123
431,1.88996,1.84729,0.323123
432,1.88996,1.85948,0.323123
433,1.88996,1.87167,0.323123
434,1.88996,1.88386,0.323123
435,1.88996,1.8351,0.335317
436,1.88996,1.84729,0.335317
437,1.88996,1.85948,0.335317
438,1.88996,1.87167,0.335317
439,1.88996,1.88386,0.335317
440,1.88996,1.8351,0.34751
441,1.88996,1.84729,0.34751
442,1.88996,1.85948,0.34751
443,1.88996,1.87167,0.34751
444,1.88996,1.88386,0.34751
445,1.88996,1.8351,0.359703
446,1.88996,1.84729,0.359703
447,1.88996,1.85948,0.359703
448,1.88996,1.87167,0.359703
449,1.88996,1.88386,0.359703
450,1.8351,1.829,0.00609667
451,1.8351,1.829,0.01829
452,1.8351,1.829,0.0304833
453,1.8351,1.829,0.0426767
454,1.8351,1.829,0.05487
455,1.8351,1.829,0.0670633
456,1.8351,1.829,0.0792567
457,1.8351,1.829,0.09145
458,1.8351,1.829,0.103643
459,1.8351,1.829,0.115837
460,1.8351,1.829,0.12803
461,1.8351,1.829,0.140223
462,1.8351,1.829,0.152417
463,1.8351,1.829,0.16461
464,1.8351,1.829,0.176803
465,1.8351,1.829,0.188997
466,1.8351,1.829,0.20119
467,1.8351,1.829,0.213383
468,1.8351,1.829,0.225577
469,1.8351,1.829,0.23777
470,1.8351,1.829,0.249963
471,1.8351,1.829,0.262157
472,1.8351,1.829,0.27435
473,1.8351,1.829,0.286543
474,1.8351,1.829,0.298737
475,1.8351,1.829,0.31093
476,1.8351,1.829,0.323123
477,1.8351,1.829,0.335317
478,1.8351,1.829,0.34751
479,1.8351,1.829,0.359703
480,1.84729,1.829,0.00609667
481,1.84729,1.829,0.01829
482,1.84729,1.829,0.0304833
483,1.84729,1.829,0.0426767
484,1.84729,1.829,0.05487
485,1.84729,1.829,0.0670633
486,1.84729,1.829,0.0792567
487,1.84729,1.829,0.09145
488,1.84729,1.829,0.103643
489,1.84729,1.829,0.115837
490,1.84729,1.829,0.12803
491,1.84729,1.829,0.140223
492,1.84729,1.829,0.152417
493,1.84729,1.829,0.16461
494,1.84729,1.829,0.176803
495,1.84729,1.829,0.188997
496,1.84729,1.829,0.20119
497,1.84729,1.829,0.213383
498,1.84729,1.829,0.225577
499,1.84729,1.829,0.23777
500,1.84729,1.829,0.249963
501,1.84729,1.829,0.262157
502,1.84729,1.829,0.27435
503,1.84729,1.829,0.286543
504,1.84729,1.829,0.298737
505,1.84729,1.829,0.31093
506,1.84729,1.829,0.323123
507,1.84729,1.829,0.335317
508,1.84729,1.829,0.34751
509,1.84729,1.829,0.359703
510,1.85948,1.829,0.00609667
511,1.85948,1.829,0.01829
512,1.85948,1.829,0.0304833
513,1.85948,1.829,0.0426767
514,1.85948,1.829,0.05487
515,1.85948,1.829,0.0670633
516,1.85948,1.829,0.0792567
517,1.85948,1.829,0.09145
518,1.85948,1.829,0.103643
519,1.85948,1.829,0.115837
520,1.85948,1.829,0.12803
