vtkCompositeIndexArray,vtkOriginalIndices,N,Time,__vtkIsSelected__,avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(X),avg(Y),avg(Z),avg(vtkOriginalPointIds),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(X),max(Y),max(Z),max(vtkOriginalPointIds),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(X),med(Y),med(Z),med(vtkOriginalPointIds),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(X),min(Y),min(Z),min(vtkOriginalPointIds),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(X),q1(Y),q1(Z),q1(vtkOriginalPointIds),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(X),q3(Y),q3(Z),q3(vtkOriginalPointIds),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(X),std(Y),std(Z),std(vtkOriginalPointIds),vtkValidPointMask
1,12,1,0.024,0,-0.726428,-0.961981,0.940525,1.52895,0,2,8.2,124,-0.726428,-0.961981,0.940525,1.52895,0,2,8.2,124,-0.726428,-0.961981,0.940525,1.52895,0,2,8.2,124,-0.726428,-0.961981,0.940525,1.52895,0,2,8.2,124,-0.726428,-0.961981,0.940525,1.52895,0,2,8.2,124,-0.726428,-0.961981,0.940525,1.52895,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,13,1,0.026,0,-0.974042,-0.911053,1.0848,1.71918,0,2,8.2,124,-0.974042,-0.911053,1.0848,1.71918,0,2,8.2,124,-0.974042,-0.911053,1.0848,1.71918,0,2,8.2,124,-0.974042,-0.911053,1.0848,1.71918,0,2,8.2,124,-0.974042,-0.911053,1.0848,1.71918,0,2,8.2,124,-0.974042,-0.911053,1.0848,1.71918,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,14,1,0.028,0,-1.14687,-0.674057,1.10859,1.73165,0,2,8.2,124,-1.14687,-0.674057,1.10859,1.73165,0,2,8.2,124,-1.14687,-0.674057,1.10859,1.73165,0,2,8.2,124,-1.14687,-0.674057,1.10859,1.73165,0,2,8.2,124,-1.14687,-0.674057,1.10859,1.73165,0,2,8.2,124,-1.14687,-0.674057,1.10859,1.73165,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,15,1,0.03,0,-1.16803,-0.321629,1.1349,1.66004,0,2,8.2,124,-1.16803,-0.321629,1.1349,1.66004,0,2,8.2,124,-1.16803,-0.321629,1.1349,1.66004,0,2,8.2,124,-1.16803,-0.321629,1.1349,1.66004,0,2,8.2,124,-1.16803,-0.321629,1.1349,1.66004,0,2,8.2,124,-1.16803,-0.321629,1.1349,1.66004,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,16,1,0.032,0,-1.09777,0.0476011,1.21963,1.6416,0,2,8.2,124,-1.09777,0.0476011,1.21963,1.6416,0,2,8.2,124,-1.09777,0.0476011,1.21963,1.6416,0,2,8.2,124,-1.09777,0.0476011,1.21963,1.6416,0,2,8.2,124,-1.09777,0.0476011,1.21963,1.6416,0,2,8.2,124,-1.09777,0.0476011,1.21963,1.6416,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,17,1,0.034,0,-1.04427,0.375971,1.36499,1.75928,0,2,8.2,124,-1.04427,0.375971,1.36499,1.75928,0,2,8.2,124,-1.04427,0.375971,1.36499,1.75928,0,2,8.2,124,-1.04427,0.375971,1.36499,1.75928,0,2,8.2,124,-1.04427,0.375971,1.36499,1.75928,0,2,8.2,124,-1.04427,0.375971,1.36499,1.75928,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,18,1,0.036,0,-1.01544,0.645657,1.53992,1.95432,0,2,8.2,124,-1.01544,0.645657,1.53992,1.95432,0,2,8.2,124,-1.01544,0.645657,1.53992,1.95432,0,2,8.2,124,-1.01544,0.645657,1.53992,1.95432,0,2,8.2,124,-1.01544,0.645657,1.53992,1.95432,0,2,8.2,124,-1.01544,0.645657,1.53992,1.95432,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,19,1,0.038,0,-0.900173,0.851573,1.66611,2.07639,0,2,8.2,124,-0.900173,0.851573,1.66611,2.07639,0,2,8.2,124,-0.900173,0.851573,1.66611,2.07639,0,2,8.2,124,-0.900173,0.851573,1.66611,2.07639,0,2,8.2,124,-0.900173,0.851573,1.66611,2.07639,0,2,8.2,124,-0.900173,0.851573,1.66611,2.07639,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,20,1,0.04,0,-0.620706,1.01511,1.64743,2.03218,0,2,8.2,124,-0.620706,1.01511,1.64743,2.03218,0,2,8.2,124,-0.620706,1.01511,1.64743,2.03218,0,2,8.2,124,-0.620706,1.01511,1.64743,2.03218,0,2,8.2,124,-0.620706,1.01511,1.64743,2.03218,0,2,8.2,124,-0.620706,1.01511,1.64743,2.03218,0,2,8.2,124,0,0,0,0,0,0,0,0,1
1,21,1,0.042,0,-0.274161,1.20611,1.47266,1.92317,0,2,8.2,124,-0.274161,1.20611,1.47266,1.92317,0,2,8.2,124,-0.274161,1.20611,1.47266,1.92317,0,2,8.2,124,-0.274161,1.20611,1.47266,1.92317,0,2,8.2,124,-0.274161,1.20611,1.47266,1.92317,0,2,8.2,124,-0.274161,1.20611,1.47266,1.92317,0,2,8.2,124,0,0,0,0,0,0,0,0,1
